ts,route_name,ddcp,driven_distance,total_charging_estimation_kw,car_used_percentage
2009-06-22,E04燕巢學園快線,26,78,83,90
2009-06-23,E04燕巢學園快線,56,89,1,39
2009-06-24,E04燕巢學園快線,73,75,35,2
2009-06-25,E04燕巢學園快線,56,95,83,20
2009-06-26,E04燕巢學園快線,70,57,24,19
2009-06-27,E04燕巢學園快線,10,28,11,38
2009-06-28,E04燕巢學園快線,30,55,87,47
2009-06-29,E04燕巢學園快線,49,28,29,86
2009-06-30,E04燕巢學園快線,24,67,43,72
2009-07-01,E04燕巢學園快線,11,53,72,51
2009-07-02,E04燕巢學園快線,55,6,61,7
2009-07-03,E04燕巢學園快線,71,15,52,39
2009-07-04,E04燕巢學園快線,6,55,10,98
