ts,bus_age,status,count
2023-12-03,電巴車齡1年,閒置中,64
2023-12-04,電巴車齡1年,閒置中,10
2023-12-05,電巴車齡1年,閒置中,2
2023-12-06,電巴車齡1年,閒置中,64
2023-12-07,電巴車齡1年,閒置中,26
2023-12-08,電巴車齡1年,閒置中,40
2023-12-09,電巴車齡1年,閒置中,24
2023-12-10,電巴車齡1年,閒置中,22
2023-12-11,電巴車齡1年,閒置中,96
2023-12-12,電巴車齡1年,閒置中,71
2023-12-13,電巴車齡1年,閒置中,88
2023-12-14,電巴車齡1年,閒置中,9
2023-12-15,電巴車齡1年,閒置中,63
2023-12-16,電巴車齡1年,閒置中,74
2023-12-17,電巴車齡1年,閒置中,58
2023-12-18,電巴車齡1年,閒置中,24
2023-12-19,電巴車齡1年,閒置中,97
2023-12-20,電巴車齡1年,閒置中,47
2023-12-21,電巴車齡1年,閒置中,69
2023-12-22,電巴車齡1年,閒置中,93
2023-12-23,電巴車齡1年,閒置中,82
2023-12-24,電巴車齡1年,閒置中,44
2023-12-25,電巴車齡1年,閒置中,19
2023-12-26,電巴車齡1年,閒置中,67
2023-12-27,電巴車齡1年,閒置中,80
2023-12-28,電巴車齡1年,閒置中,75
2023-12-29,電巴車齡1年,閒置中,56
2023-12-30,電巴車齡1年,閒置中,54
